R.K. Lilley,Mile High,4.19,71466,https://www.goodreads.com/author/show/6574132.R_K_Lilley
Colleen Hoover,Ugly Love,4.10,1539683,https://www.goodreads.com/author/show/5430144.Colleen_Hoover
Karina Halle,Lying Season,4.46,7155,https://www.goodreads.com/author/show/4785031.Karina_Halle
Penelope Douglas,Bully,3.90,184346,https://www.goodreads.com/author/show/7139136.Penelope_Douglas
Madeline Sheehan,Undeniable,4.02,49785,https://www.goodreads.com/author/show/6554504.Madeline_Sheehan
Cassandra Clare,City of Fallen Angels,4.08,583880,https://www.goodreads.com/author/show/150038.Cassandra_Clare
Marie Lu,Legend,4.16,513395,https://www.goodreads.com/author/show/4342215.Marie_Lu
Lisa Kleypas,Devil in Winter,4.23,83752,https://www.goodreads.com/author/show/27847.Lisa_Kleypas
L.A. Fiore,Beautifully Damaged,3.98,29958,https://www.goodreads.com/author/show/6553058.L_A_Fiore
Johnathon Nicolaou,The Chain Between Worlds,4.57,1032,https://www.goodreads.com/author/show/22199652.Johnathon_Nicolaou
Kristen Ashley,Rock Chick Redemption,4.41,35407,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
J.R. Ward,Lover Reborn,4.33,81635,https://www.goodreads.com/author/show/20248.J_R_Ward
Charlotte Brontë,Jane Eyre,4.14,2016456,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_
Heidi McLaughlin,Forever My Girl,3.98,53610,https://www.goodreads.com/author/show/6568302.Heidi_McLaughlin
Kylie Scott,Play,4.25,57350,https://www.goodreads.com/author/show/6476625.Kylie_Scott
Amy A. Bartol,Inescapable,4.03,37846,https://www.goodreads.com/author/show/5286855.Amy_A_Bartol
Lacey Weatherford,Chasing Nikki,3.96,12857,https://www.goodreads.com/author/show/3297510.Lacey_Weatherford
Devon Ashley,Nearly Broken,3.89,1337,https://www.goodreads.com/author/show/4717601.Devon_Ashley
Karina Halle,Dead Sky Morning,4.35,7074,https://www.goodreads.com/author/show/4785031.Karina_Halle
Josephine Angelini,Starcrossed,4.05,72186,https://www.goodreads.com/author/show/3406550.Josephine_Angelini
Michelle A. Valentine,Rock the Heart,eally liked it 4.00,30271,https://www.goodreads.com/author/show/6540645.Michelle_A_Valentine
Elizabeth Reyes,Forever Mine,3.87,23109,https://www.goodreads.com/author/show/499602.Elizabeth_Reyes
Richelle Mead,Frostbite,4.26,347711,https://www.goodreads.com/author/show/137902.Richelle_Mead
Tahereh Mafi,Unravel Me,4.16,455062,https://www.goodreads.com/author/show/4637539.Tahereh_Mafi
Richelle Mead,Blood Promise,4.31,307086,https://www.goodreads.com/author/show/137902.Richelle_Mead
Kylie Scott,Lick,4.07,87725,https://www.goodreads.com/author/show/6476625.Kylie_Scott
Tabitha Suzuma,Forbidden,3.98,70564,https://www.goodreads.com/author/show/599916.Tabitha_Suzuma
Colleen Hoover,This Girl,3.87,116672,https://www.goodreads.com/author/show/5430144.Colleen_Hoover
Marissa Meyer,Cinder,4.13,886341,https://www.goodreads.com/author/show/4684322.Marissa_Meyer
Jaci Burton,The Perfect Play,3.89,39432,https://www.goodreads.com/author/show/2613.Jaci_Burton
Jennifer L. Armentrout,Origin,4.33,109876,https://www.goodreads.com/author/show/4476934.Jennifer_L_Armentrout
Katie Ashley,The Proposition,4.02,50695,https://www.goodreads.com/author/show/6546441.Katie_Ashley
Kristen Ashley,Breathe,4.33,37203,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
J.R. Ward,Lover Enshrined,4.11,115646,https://www.goodreads.com/author/show/20248.J_R_Ward
Karina Halle,On Demon Wings,4.41,6434,https://www.goodreads.com/author/show/4785031.Karina_Halle
Karen Marie Moning,Shadowfever,4.39,107257,https://www.goodreads.com/author/show/48206.Karen_Marie_Moning
J.R. Ward,Lover Unleashed,4.27,92106,https://www.goodreads.com/author/show/20248.J_R_Ward
K. Bromberg,Driven,4.25,60902,https://www.goodreads.com/author/show/7047863.K_Bromberg
Jenny Han,The Summer I Turned Pretty Trilogy: The Summer I Turned Pretty; It's Not Summer Without You; We'll Always Have Summer,4.27,28933,https://www.goodreads.com/author/show/151371.Jenny_Han
Alexandra Adornetto,Halo,3.66,68479,https://www.goodreads.com/author/show/696372.Alexandra_Adornetto
C.J. Roberts,Captive in the Dark,3.95,71514,https://www.goodreads.com/author/show/5174152.C_J_Roberts
Morgan Matson,Amy & Roger's Epic Detour,3.98,93414,https://www.goodreads.com/author/show/3351454.Morgan_Matson
Paullina Simons,The Bronze Horseman,4.30,83486,https://www.goodreads.com/author/show/47499.Paullina_Simons
Karina Halle,Red Fox,4.17,7989,https://www.goodreads.com/author/show/4785031.Karina_Halle
Veronica Rossi,Under the Never Sky,3.99,113748,https://www.goodreads.com/author/show/4637369.Veronica_Rossi
Kristen Ashley,Rock Chick Renegade,4.44,33213,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Emily Brontë,Wuthering Heights,3.88,1721887,https://www.goodreads.com/author/show/4191.Emily_Bront_
A. Meredith Walters,Bad Rep,3.90,24419,https://www.goodreads.com/author/show/5416410.A_Meredith_Walters
Colleen Hoover,Finding Cinderella,4.03,135778,https://www.goodreads.com/author/show/5430144.Colleen_Hoover
Jane Austen,Sense and Sensibility,4.08,1149900,https://www.goodreads.com/author/show/1265.Jane_Austen
Maria V. Snyder,Poison Study,4.10,162441,https://www.goodreads.com/author/show/445303.Maria_V_Snyder
Jeaniene Frost,Once Burned,4.20,67816,https://www.goodreads.com/author/show/669810.Jeaniene_Frost
Kate Brian,Megan Meade's Guide to the McGowan Boys,3.92,32633,https://www.goodreads.com/author/show/94091.Kate_Brian
Monica  Murphy,One Week Girlfriend,3.91,53442,https://www.goodreads.com/author/show/5934418.Monica_Murphy
Alexandra Bracken,The Darkest Minds,4.16,185418,https://www.goodreads.com/author/show/2973783.Alexandra_Bracken
Ally Carter,Heist Society,3.91,92547,https://www.goodreads.com/author/show/56224.Ally_Carter
Kristen Ashley,Rock Chick Regret,4.53,31482,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Kiera Cass,The One,4.16,645525,https://www.goodreads.com/author/show/2987125.Kiera_Cass
Gina L. Maxwell,Seducing Cinderella,3.92,34103,https://www.goodreads.com/author/show/6446604.Gina_L_Maxwell
Elizabeth Gaskell,North and South,4.15,165464,https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell
Jennifer E. Smith,The Statistical Probability of Love at First Sight,3.76,115565,https://www.goodreads.com/author/show/805184.Jennifer_E_Smith
Cindy C. Bennett,Heart on a Chain,4.03,17202,https://www.goodreads.com/author/show/4116333.Cindy_C_Bennett
Lauren Barnholdt,Two-Way Street,3.78,45608,https://www.goodreads.com/author/show/262086.Lauren_Barnholdt
Kristen Ashley,Rock Chick Rescue,4.30,37189,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Nicholas Sparks,Safe Haven,4.21,375031,https://www.goodreads.com/author/show/2345.Nicholas_Sparks
